,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
361,Restricted Area,Center(C),2,-16,25,0
362,Restricted Area,Center(C),3,-10,31,0
363,Mid-Range,Right Side Center(RC),16,94,140,1
364,Restricted Area,Center(C),1,-10,17,0
365,In The Paint (Non-RA),Center(C),4,-29,35,0
366,Restricted Area,Center(C),0,-8,5,0
367,Restricted Area,Center(C),0,3,1,1
368,Right Corner 3,Right Side(R),23,235,11,0
369,Above the Break 3,Right Side Center(RC),28,170,227,1
370,In The Paint (Non-RA),Center(C),6,54,42,1
371,Restricted Area,Center(C),1,12,1,1
372,Above the Break 3,Center(C),26,40,263,1
373,Mid-Range,Center(C),17,27,172,1
374,Mid-Range,Left Side(L),13,-129,37,0
375,Restricted Area,Center(C),0,-5,8,1
376,Restricted Area,Center(C),2,25,10,1
377,Mid-Range,Left Side(L),13,-123,43,0
378,Left Corner 3,Left Side(L),23,-230,-1,1
379,Above the Break 3,Right Side Center(RC),27,120,245,0
380,Restricted Area,Center(C),3,24,19,0
381,Above the Break 3,Center(C),26,-31,260,1
382,In The Paint (Non-RA),Center(C),6,-14,63,1
383,Restricted Area,Center(C),1,-16,8,1
384,Restricted Area,Center(C),3,32,6,0
385,Left Corner 3,Left Side(L),23,-231,-8,0
386,Above the Break 3,Center(C),25,-11,259,1
387,Above the Break 3,Center(C),26,22,262,0
388,Restricted Area,Center(C),1,4,11,1
389,In The Paint (Non-RA),Center(C),4,-46,10,1
390,Mid-Range,Left Side Center(LC),21,-157,143,0
391,Above the Break 3,Right Side Center(RC),26,189,184,0
392,Mid-Range,Left Side(L),17,-176,22,0
393,Mid-Range,Right Side Center(RC),18,123,133,0
394,Restricted Area,Center(C),2,-13,20,0
395,Restricted Area,Center(C),0,0,-6,1
396,Above the Break 3,Left Side Center(LC),27,-188,207,0
397,Restricted Area,Center(C),1,10,2,1
398,Mid-Range,Left Side(L),11,-105,48,0
399,Restricted Area,Center(C),0,1,6,1
